dir,speed,prob
280,5.7,7.11E-06
280,6.3,7.11E-06
280,6.3,7.11E-06
280,6.2,7.11E-06
270,5.6,7.11E-06
270,5.5,7.11E-06
270,5.4,7.11E-06
260,5.5,7.11E-06
260,5.4,7.11E-06
260,5.4,7.11E-06
260,5.5,7.11E-06
250,5.7,7.11E-06
250,5.8,7.11E-06
250,5.6,7.11E-06
250,5.8,7.11E-06
250,5.8,7.11E-06
250,6.4,7.11E-06
260,7,7.11E-06
260,7.2,7.11E-06
260,6.7,7.11E-06
260,7,7.11E-06
260,7.3,7.11E-06
260,6.8,7.11E-06
260,6.7,7.11E-06
270,6.5,7.11E-06
270,6.4,7.11E-06
270,6.6,7.11E-06
270,6.2,7.11E-06
270,6.4,7.11E-06
270,7.1,7.11E-06
280,6.8,7.11E-06
290,6.6,7.11E-06
290,6.1,7.11E-06
300,6.5,7.11E-06
300,6.9,7.11E-06
290,7.3,7.11E-06
300,6.9,7.11E-06
300,6.9,7.11E-06
300,7,7.11E-06
300,6.5,7.11E-06
290,7.9,7.11E-06
290,8.5,7.11E-06
300,9.5,7.11E-06
300,9.4,7.11E-06
300,9.6,7.11E-06
300,9.9,7.11E-06
300,10.2,7.11E-06
300,10.3,7.11E-06
300,10.3,7.11E-06
300,9.3,7.11E-06
300,9.6,7.11E-06
300,9.4,7.11E-06
300,8.9,7.11E-06
300,9,7.11E-06
300,9.1,7.11E-06
300,8.9,7.11E-06
300,8.7,7.11E-06
300,8,7.11E-06
300,7.6,7.11E-06
300,7.5,7.11E-06
300,7.5,7.11E-06
290,7.6,7.11E-06
300,7.3,7.11E-06
300,7.4,7.11E-06
290,7.6,7.11E-06
290,7.7,7.11E-06
300,7.3,7.11E-06
290,6.9,7.11E-06
290,6.7,7.11E-06
290,6.9,7.11E-06
290,6.8,7.11E-06
290,6.6,7.11E-06
290,6.5,7.11E-06
290,6.5,7.11E-06
290,6.5,7.11E-06
290,6.4,7.11E-06
280,5.9,7.11E-06
280,5.5,7.11E-06
280,5.5,7.11E-06
270,5.5,7.11E-06
270,5.1,7.11E-06
280,4.7,7.11E-06
280,4.9,7.11E-06
280,4.7,7.11E-06
270,4.5,7.11E-06
270,4.1,7.11E-06
260,3.4,7.11E-06
260,3.6,7.11E-06
250,3.5,7.11E-06
250,3.2,7.11E-06
240,3.4,7.11E-06
230,3.5,7.11E-06
230,3.4,7.11E-06
220,3.1,7.11E-06
220,2.9,7.11E-06
230,3.2,7.11E-06
230,3,7.11E-06
230,2.9,7.11E-06
230,2.5,7.11E-06
230,2.5,7.11E-06
240,2.5,7.11E-06
240,2.8,7.11E-06
240,2.8,7.11E-06
240,2.6,7.11E-06
250,3.1,7.11E-06
260,2.9,7.11E-06
260,3.1,7.11E-06
260,3,7.11E-06
260,3,7.11E-06
260,3.2,7.11E-06
260,3.4,7.11E-06
270,3.5,7.11E-06
270,3.6,7.11E-06
280,3.9,7.11E-06
280,4.1,7.11E-06
280,4.6,7.11E-06
280,4.6,7.11E-06
280,4,7.11E-06
280,4.2,7.11E-06
280,4.1,7.11E-06
270,3.8,7.11E-06
280,4,7.11E-06
280,4.4,7.11E-06
270,4,7.11E-06
270,4.1,7.11E-06
280,3.9,7.11E-06
280,4.1,7.11E-06
270,4,7.11E-06
270,4.2,7.11E-06
270,4.2,7.11E-06
280,4.1,7.11E-06
280,4,7.11E-06
280,3.7,7.11E-06
290,3.2,7.11E-06
290,2.7,7.11E-06
290,2.7,7.11E-06
300,3,7.11E-06
300,2.3,7.11E-06
300,1.7,7.11E-06
310,1.4,7.11E-06
300,1.2,7.11E-06
320,1,7.11E-06
330,1.3,7.11E-06
340,1.5,7.11E-06
330,0.9,7.11E-06
310,0.1,7.11E-06
310,0,7.11E-06
220,0,7.11E-06
160,0,7.11E-06
160,0,7.11E-06
220,0,7.11E-06
230,0,7.11E-06
290,0,7.11E-06
30,0,7.11E-06
70,0,7.11E-06
140,0.8,7.11E-06
110,0.8,7.11E-06
80,0.9,7.11E-06
80,1.1,7.11E-06
80,0.9,7.11E-06
80,0.5,7.11E-06
80,0.8,7.11E-06
110,0.9,7.11E-06
140,0.9,7.11E-06
140,1.2,7.11E-06
140,1.2,7.11E-06
130,0.9,7.11E-06
100,0.8,7.11E-06
